mu;ReferenceEK0_nsteps;ReferenceEK0_errors;ReferenceEK0_seconds;KroneckerEK0_nsteps;KroneckerEK0_errors;KroneckerEK0_seconds;DiagonalEK0_nsteps;DiagonalEK0_errors;DiagonalEK0_seconds;ReferenceEK1_nsteps;ReferenceEK1_errors;ReferenceEK1_seconds;DiagonalEK1_nsteps;DiagonalEK1_errors;DiagonalEK1_seconds
1;275.0;0.0004696773408056539;5.763904809951782;275.0;0.0004697021395558656;1.5510008335113525;365.0;0.0002466261882409882;1.7156181335449219;64;1.0199359452812743e-05;1.685244083404541;308;8.940761587855034e-05;1.5684881210327148
10;3800.0;2.1095886803320834e-05;10.691978216171265;3818.0;1.3374955338504742e-05;9.33593463897705;3865.0;0.0001334952896513544;6.889519691467285;301;1.2466867874040783e-05;2.10343599319458;1308;0.00010635089519767904;3.0778284072875977
100;39645.0;3.325789378854346e-06;66.92718577384949;39655.0;7.113202872140621e-06;87.63549709320068;39753.0;6.194117985319621e-05;60.09600377082825;851;2.5160689244336375e-05;3.023588180541992;4397;0.0002932788977998292;7.720024824142456
1000;408575;1.0461017158014081e-05;630.0476880073547;408586;1.2227611875016547e-06;876.3445003032684;408585;1.4954244947434458e-05;602.5228927135468;2017;7.350568098010876e-06;7.849206447601318;13308;0.00032376294540840364;20.85617685317993
10000;;;;;;;;;;4244;4.2228702997145237e-07;11.262977123260498;38064;0.0003159695458504554;57.26823449134827
100000;;;;;;;;;;8656;1.2919467878706085e-06;18.167818546295166;82142;0.00080182196382299;122.60129404067993
1000000;;;;;;;;;;17406;1.7596316446964193e-06;32.048184394836426;132498;0.0009621452338325708;198.125244140625
