method;d;nu;time_attempt_step
ek1_reference;4;8;0.7415739969999997
ek1_reference;8;8;0.6388532510000005
ek1_reference;16;8;1.0848886039999996
ek1_reference;64;8;0.6180936459999984
ek1_reference;128;8;1.4299309949999994
ek1_reference;256;8;7.444367430999996
ek1_diagonal;4;8;0.7516398839999994
ek1_diagonal;8;8;0.5702648669999988
ek1_diagonal;16;8;0.637727942000005
ek1_diagonal;64;8;0.757149830000003
ek1_diagonal;128;8;0.9011125629999981
ek1_diagonal;256;8;0.8629802259999977
ek1_truncated;4;8;0.20576416600000158
ek1_truncated;8;8;0.22155823800000007
ek1_truncated;16;8;0.2738206029999972
ek1_truncated;64;8;0.5124958520000007
ek1_truncated;128;8;0.9593700890000036
ek1_truncated;256;8;2.4348441400000027
